id;name
273;мокрый асфальт
274;синий/черный/белый
275;черный/темно-синий
276;красный/темно-синий
277;темно-синий/черный
278;антрацит/желтый
279;черный/зеленый/серый
280;черный/аква
281;бесцветный полупрозрачный/лайм
282;бесцветный полупрозрачный/красный
283;бесцветный полупрозрачный/синий
284;бесцветный полупрозрачный/оранжевый
285;бесцветный полупрозрачный/белый
286;бесцветный полупрозрачный/черный
287;черный, синий, желтый
288;светло-коричневый, черный
289;черный/светло-синий
290;черный/лайм
291;синий металлик
292;мокрый асфальт/черный
293;серебристый/мокрый асфальт
294;темно-серый
295;светло-серый/черный
296;бордовый/черный
297;графит/черный
298;зеленое яблоко/черный/серебристый
299;серебристый/оранжевый
300;черный/серебристый/серый
301;черный/серебристый, белый/серый
302;черный/разноцветный
303;синий/белый/серебристый
304;зеленый/белый/серебристый
305;оранжевый/белый/серебристый
306;желтый/серебристый/черный
307;бежевый/оранжевый/черный
308;голубой/белый
309;бирюзовый/белый
310;серый/белый
311;красный/белый/серебристый
312;золотистый/зеленый
313;синий/серый
314;оранжевый/серый
315;синий/серый/черный
316;оранжевый/серый/черный
317;белый/серый/черный
318;серый/темно-синий
319;голубой/черный
320;коричневый/бежевый
321;синий/зеленый/черный/серый
322;черный/фиолетовый/серебристый
323;черный/красный/серебристый
324;белый/красный/серебристый
325;голубой сапфир
326;оранжевый коралл
327;фисташковый
328;цитрусовый
329;амарант
330;морская волна
331;бирюзовый
332;светло-серый
333;зеленый/прозрачный/бронзовый
334;черный с вызолочением/коричневый
335;бронзовый/зеленый
336;светло-коричневый/серебристый
337;серебристый/серый
338;серый прозрачный/серебристый
339;серебристый/черный/красный
340;черный/голубой
341;коричнево-серый/коричневый
342;коричневый/коричнево-серый
343;черный/темно-серый/ярко-синий
344;графит/серебристый
345;синий/прозрачный
346;лайм/черный/серебристый
347;вишневый светлый
348;lavender
349;натуральный/ярко-синий
350;натуральный/зеленое яблоко
351;натуральный/желтый
352;натуральный/белый
353;натуральный/оранжевый
354;натуральный/насыщенный синий
355;натуральный/пурпурный
356;зеленое яблоко/черный
357;черный/серый/белый
358;черный/ярко-синий/белый
359;черный/красный/белый
360;черный/лайм/белый
361;ярко-синий/черный/серый
362;красный/черный/серый
363;лайм/черный/серый
364;белый/черный/серый
365;оранжевый/черный/серый
366;розовый/белый
367;светло-зеленый
368;белый матовый
369;песочный
370;серебристый металлик
371;черный металлик
372;серый/черный/лайм
373;оранжевый/прозрачный
374;лайм/прозрачный
375;белый/серый/черный/синий/красный
376;черный прозрачный/серый
377;прозрачный/серый
378;синий прозрачный/серый
379;медно-красный
380;черный, серебристый, светло-коричневый
381;серый яркий
382;черный/ярко-синий/серый/белый
383;черный, натуральный/серебристый
384;черный/синий/оранжевый/лайм
385;черный/серебристый/прозрачный
386;черный/белый/серебристый
387;черный/ярко-синий/серебристый
388;синий, серебристый
389;красный, серебристый
390;зеленый, серебристый
391;натуральный/темно-синий
392;ярко-синий/белый/серебристый
393;лайм/белый/серебристый
394;желтый прозрачный/белый
395;лайм прозрачный/белый
396;розовый прозрачный/белый
397;ярко-синий/серый
398;красный/серый
399;лайм/серый
400;черный/светло-зеленый
401;серый/серебристый
402;бронзовый
403;красный металлик
404;золотистый глянцевый
405;серебристый/черный/серый
406;синий/черный/серый
407;вишневый светлый/черный
408;пурпурный/черный
409;небесно-голубой/черный
410;светло-зеленый/черный
411;сливовый/черный
412;белый/голубой
413;белый/фуксия
414;бордовый/серебристый
415;зеленое яблоко/серебристый
416;сильвер шайн
417;темно-синий/серебристый
418;синий/золотистый
419;темно-зеленый/золотистый
420;салатовый/черный
421;белый/зеленое яблоко/серебристый
422;белый/салатовый
423;синий/золотистый/черный
424;зеленое яблоко/золотистый/черный
425;серебристый/золотистый/черный
426;оранжевый/золотистый/черный
427;зеленое яблоко/золотистый
428;оранжевый/золотистый
429;серый/зеленое яблоко
430;красный/темно-серый
431;синий/темно-серый
432;зеленый/темно-серый
433;белый/темно-серый
434;оранжевый/темно-серый
435;черный/темно-серый
436;желтый/темно-серый
437;синий классический 
438;хаки/черный
439;черный/серебристый/оранжевый
440;черный, желтый, дерево
441;светло-синий/черный
442;крафт
443;крафт/черный
444;белый, серебристый
445;оранжевый, серебристый
446;серый, серебристый
447;оранжевый/черный/прозрачный
448;зеленое яблоко/черный/прозрачный
449;синий/черный/прозрачный
450;неоновый желтый
451;бургунди/серебристый
452;графит
453;белый/разноцветный
454;коричневый, серебристый
455;золотистый/прозрачный
456;темно-коричневый
457;золотистый/серебристый
458;пудровый/золотистый
459;серый/коричневый
460;дерево
461;крафт глянцевый
462;синий глянцевый
463;черный глянцевый
464;красный глянцевый
465;зеленый глянцевый
466;серебристый глянцевый
467;белый глянцевый
468;оранжевый глянцевый
469;серебристый, черный/белый
470;черный/деревянный
471;белый/черный/деревянный
472;черный/прозрачный/красный
473;серебристый/черный/прозрачный/красный
474;красный/разноцветный
475;светло-коричневый/кремовый
476;неоново-розовый прозрачный/серый
477;неоново-зеленый прозрачный/серый
478;ярко-синий прозрачный/серый
479;черный/желтый/серебристый
480;прозрачный, черный/серебристый
481;серебристый матовый
482;натуральный/коричневый
483;темно-серый/черный
484;темно-синий/черный/белый
485;красный/черный/белый
486;оливковый/черный
487;синий/серый/черный/серебристый
488;красный/серый/черный/серебристый
489;белый/серый/черный/серебристый
490;черный/белый/серебристый/бежевый
491;красный/белый/черный/серебристый/бежевый
492;ярко-синий/белый/черный/серебристый/бежевый
493;прозрачный/красный/золотистый
494;прозрачный матовый
495;желтый матовый
496;красный матовый
497;синий матовый
498;зеленый матовый
499;светло-розовый/прозрачный
500;глянцевый красный
501;глянцевый синий
502;стальной
503;ярко-синий прозрачный
504;оранжевый прозрачный 
505;розовый прозрачный
506;зеленый/серый
507;белый/прозрачный/серебристый
508;ярко-синий/черный/белый
509;лайм/черный/белый
510;оранжевый/черный/белый
511;серый/черный/прозрачный
512;светло-синий/серебристый
513;темно-серый/серебристый
514;сливовый/серебристый
515;серебристый/ярко-синий/черный
516;серебристый/оранжевый/черный
517;серебристый/темно-серый
518;хаки
519;серебристый/ярко-синий
520;серебристый/розовый
521;черный/лайм/серебристый
522;черный/бежевый
523;темно-синий/бежевый
524;красный/бежевый
525;зеленый/бежевый
526;серый/темно-красный
527;серый/лайм
528;натуральный/фуксия
529;зеленый/бежевый/черный
530;красный/бежевый/черный
531;ярко-синий/бежевый/черный
532;пурпурный/бежевый/черный
533;ярко-синий/белый/черный
534;красный/белый/черный
535;лайм/белый/черный
536;зеленый лайм/черный
537;темно-синий/желтый
538;медный/черный
539;медный/серебристый
540;черный, светло-коричневый, серебристый
541;белый/серый/серебристый
542;корпус- серебристый, циферблат- кремовый, крепление- светло-коричневый
543;корпус- серебристый, циферблат- синий, крепление- коричневый
544;корпус- белый, циферблат- белый, крепление- белый
545;корпус- розовое золото, циферблат- черный, крепление- черный
546;корпус- черный, циферблат- черный, крепление- черный
547;корпус- темно-серый, циферблат- синий, крепление- темно-серый
548;корпус- серебристый, циферблат- серебристый, крепление- серебристый
549;корпус- розовое золото, циферблат- комбинированный, крепление- розовое золото
550;корпус- желтое золото, циферблат- серебристый, крепление- желтое золото
551;серебристый/темно-коричневый
552;камуфляж, коричневый/серебристый
553;камуфляж
554;серебристый/зеленый/золотистый
555;красное дерево/черный/золотистый
556;серый/зеленый/серебристый
557;сливовый
558;розовый/серый
559;черный/фуксия
560;синий/черный/бирюзовый
561;красный/серый/черный
562;серый камуфляж
563;кирпичный
564;синий/натуральный
565;красный/натуральный
566;зеленый/натуральный
567;темно-болотный
568;прозрачный/красный/серебристый
569;венге
570;сиреневый
571;бирюзовый/черный
572;серебристый металлик/серебристый
573;бежевый металлик/серебристый
574;красный металлик/серебристый
575;черный металлик/серебристый
576;бежевый/серебристый
577;рыжий/серебристый
578;бирюзовый металлик/серебристый
579;розовый металлик/серебристый
580;сиреневый/серебристый
581;бронзовый/серебристый
582;бирюзовый/серебристый
583;серо-голубой/серебристый
584;пушечная сталь/серебристый
585;белый/серебристый/серый
586;зеленый, коричневый, желтый, красный, белый
587;красный/светло-серый
588;темно-серый/светло-серый
589;серый/желтый
590;серый/светло-серый
591;бесцветный
592;серый мраморный
593;черный металик матовый
594;серебристый металик матовый
595;ярко-синий металик матовый
596;красный металик матовый
597;лайм металик матовый
598;хром
599;разноцветный, зеленый
600;разноцветный, желтый
601;разноцветный, красный
602;разноцветный, синий
603;натуральный, коричневый
604;натуральный, белый
605;натуральный, серый
606;голубой/натуральный
607;желтый/натуральный
